,prev_text,target_text,next_text,label
30,And I'm incredibly proud of that.,"When I took over Joe's old job at the Public in 2005, I realized one of the problems we had was a victim of our own success, which is:","Shakespeare in the Park had been founded as a program for access, and it was now the hardest ticket to get in New York City.",1
31,They found it energizing.,They were more likely to redouble their efforts.,What's going on?,1
32,Here's a NASA model and science data from satellite showing the 2017 hurricane season.,You see Hurricane Harvey there?,Look at all the dust coming off of Africa.,0
33,"And what surprised me as well was that as much as this is based on the most sophisticated technology, as much as this is an incredibly new thing, the physical process itself has been around for a long time, and the culture is the same.",You see the local laborers.,You see the English engineer giving directions in the background.,0
34,"So we would collect blood and medical histories, and require that all scientists using these resources would share results with each other and with the people who donated.","Well before the internet was in common use, Pat and I established PXE International, a nonprofit dedicated to initiating research and conducting it on PXE and also supporting individuals with the disease.","Using traditional media, we garnered around 100-150 people around the world who we asked, would you give us your blood, your tissue, your medical histories, your medical records?",0
35,Who would I meet?,"You know, was there something actually out there?","And the answer, by all accounts, was no. This was the Internet, this black box with a red light on it, as represented in the sitcom ""The IT Crowd.""",0
36,"But second of all, I would leave you with the story of Vishna, who actually was my inspiration for starting International Bridges to Justice.",Vishna was a 4-year-old boy when I met him who was born in a Cambodian prison in Kandal Province.,"But because he was born in the prison, everybody loved him, including the guards, so he was the only one who was allowed to come in and out of the bars.",0
37,We put together a research consortium.,We held research meetings and opened a center of excellence.,"We found more than 4,000 people around the world who had PXE, and held patient meetings and did clinical trials and studies.",0
38,Versace without the vowels.,Zhuomani instead of Armani.,"S. Guuuci, and -- All around the world this is how products are being distributed, so, for instance, in one street market on Rua 25 de Março in São Paulo, Brazil, you can buy fake designer glasses.",0
39,How does that depend on what people are doing?,"This shows the rate of mind-wandering across 22 activities ranging from a high of 65 percent when people are taking a shower, brushing their teeth, to 50 percent when they're working, to 40 percent when they're exercising, all the way down to this one short bar on the right that I think some of you are probably laughing at.",Ten percent of the time people's minds are wandering when they're having sex.,1
40,"This show is actually on the PBS digital network -- 29,000 dollars per month.","This is a duo sailing around the world, getting paid every month for documenting their travels from 1,400 patrons.","This is a podcast, ""Chapo Trap House"", making -- actually, since I screenshotted this, they're making an additional 2,000 dollars per month, so they're now making 56,000 dollars per month for their podcast.",1
41,Global Thermostat takes a different approach.,"They focus on the heat required and the speed in which it moves through the material so that they're able to release and produce that CO2 at a really fast rate, which allows them to have a more compact design and overall cheaper costs.",And there's more still.,1
42,It sounds like Milton Friedman or Ronald Reagan.,Wrong.,President Barack Obama said that.,1
43,"They have lifted billions out of poverty.""",Who said it?,It sounds like Milton Friedman or Ronald Reagan.,0
44,"A kindergarten teacher I know, her son donated all of his toys to her, and when he did, she had to go through and pull out all the little plastic guns.",You can't have plastic knives and swords and axes and all that kind of thing in a kindergarten classroom.,What is it that we're afraid that this young man is going to do with this gun?,1
45,We created the modern welfare state.,We created public education.,We created public health care.,1
46,Here are my thoughts.,You take inventory of your own biases.,And I'm challenging you all to do that.,0
47,"Coincidentally, at the same time, the first easy-to-use clinical tests for diagnosing autism were introduced.",You no longer had to have a connection to that tiny circle of experts to get your child evaluated.,"The combination of ""Rain Man,"" the changes to the criteria, and the introduction of these tests created a network effect, a perfect storm of autism awareness.",1
48,We held research meetings and opened a center of excellence.,"We found more than 4,000 people around the world who had PXE, and held patient meetings and did clinical trials and studies.","Through all this, we lived with fear.",0
49,How does Vermeer know her?,"Well, there've been suggestions that she is his 12-year-old daughter.",The daughter at the time was 12 when he painted the painting.,1
50,"The remaining scenes in the ceiling, they mirror the crowded chaos of the world around us.",You have Noah and his Ark and the flood.,You have Noah.,0
51,He classified autism as a form of infantile psychosis caused by cold and unaffectionate parents.,"These children, he said, had been kept neatly in a refrigerator that didn't defrost.","At the same time, however, Kanner noticed that some of his young patients had special abilities that clustered in certain areas like music, math and memory.",1
52,Yes.,Yes.,But you know what we really need?,0
53,"We joined with, and I eventually led, Genetic Alliance -- a network of health advocacy, patient advocacy, research and health organizations.","We built scalable and extensible resources, like biobanks and registries and directories of support for all diseases.","And as I learned about all those diseases and all those disease communities, I realized that there were two secrets in health care that were impacting me greatly.",1
54,How can we make sure that this is implemented?,"This is fantastic.""","And he said to me, ""Well, do you have money?""",1
55,Let's say you're deciding what to have for breakfast.,You could have high fiber bran cereal or a chocolate donut.,Suppose what matters in the choice is tastiness and healthfulness.,0
56,It's just going to be something you can do.,We're figuring it out.,It's going to be a viable and sustainable and respected profession.,1
57,But we also need to be willing to invest as a global society.,"We could have all of the clever thinking and technology in the world, but it's not going to be enough in order for this technology to have a significant impact on climate.","We really need regulation, we need subsidies, taxes on carbon.",1
58,"Dependence is simply the brain's natural response to an opioid-rich environment and so there was every reason to think that from the beginning, I would need a supervised, well-formed tapering plan, but our health care system seemingly hasn't decided who's responsible for patients like me.","The prescribers saw me as a complex patient needing specialized care, probably from pain medicine.","The pain docs saw their job as getting pain under control and when I couldn't get off the medication, they saw me as the purview of addiction medicine.",1
59,We're richer.,We live longer.,We have access to technology that would have seemed like science fiction just a few years ago.,0
60,Who's heard of Twitch?,Twitch streamers are making three to five thousand bucks a month streaming gaming content.,"The big ones are making over 100,000 dollars a year.",1
61,"He'd be preoccupied with his inheritance, with his heir.",Who is going to inherit his name and his fortune?,"You put all those together, and you've got your story to fill in that gap that makes you keep coming back.",1
62,"And believe it or not, and I know some of you are like, ""Yeah, right,"" we're about 90 percent accurate, or more, with weather forecast.","You just tend to remember the occasional miss, you do.","So confirmation bias, Dunning-Kruger and cognitive dissonance.",0
63,We have superstar technologists.,We have superstar bankers.,We have superstar lawyers and superstar architects.,1
64,This is called an air contactor.,"You can see it has to be really, really wide in order to have a high enough surface area to process all of the air required, because remember, we're trying to capture just 400 molecules out of a million.","Using the liquid-based approach to do this, you take this high surface area packing material, you fill the contactor with the packing material, you use pumps to distribute liquid across the packing material, and you can use fans, as you can see in the fro",1
65,"Instead, you may ask yourself, what do we have?","Well, curtains up on the Sistine Chapel.","And I mean literally, you're surrounded by painted curtains, the original decoration of this chapel.",0
66,They collectively represent every one of 86 occupational categories and hail from over 80 countries.,"What I'd like to do with the rest of my time with you today is talk a little bit about one of the areas that we've been investigating, and that's mind-wandering.","As human beings, we have this unique ability to have our minds stray away from the present.",1
67," It's that the Gala sausage roll is a product that's made by a global company called UAC foods that's active throughout Africa and the Middle East, but the Gala sausage roll is not sold in stores.",UAC foods has recognized that it won't sell if it's in stores.,"It's only sold by a phalanx of street hawkers who run around the streets of Lagos at bus stations and in traffic jams and sell it as a snack, and it's been sold that way for 40 years.",0
68,"Instead, you faced alternatives that were on a par -- hard choices -- and you made reasons for yourself to choose that hobby, that house and that job.","When alternatives are on a par, the reasons given to us, the ones that determine whether we're making a mistake, are silent as to what to do.","It's here, in the space of hard choices, that we get to exercise our normative power -- the power to create reasons for yourself, to make yourself into the kind of person for whom country living is preferable to the urban life.",0
69,"And I'll just never forget when I started working on exoplanet atmospheres 20 years ago, how many people told me, ""This will never happen.",We'll never be able to study them.,"Why are you bothering?""",1
70,"So we're living in the age of surging income inequality, especially at the top.","What's driving it, and what can we do about it?","One set of causes is political: lower taxes, deregulation, particularly of financial services, privatization, weaker legal protections for trade unions, all of these have contributed to more and more income going to the very, very top.",0
71,"And by the time they're adults, whether they're negotiating a raise or even asking someone out on a date, they're habituated to take risk after risk.",They're rewarded for it.,"It's often said in Silicon Valley, no one even takes you seriously unless you've had two failed start-ups.",1
72,And then Michelangelo threw a curveball.,Who is in that other arm?,"Eve, first woman.",0
73,"I think most of you do, but millions of parents worldwide continue to fear that vaccines put their kids at risk for autism.",Why?,Here's why.,0
74,You can smell them.,You can get a feel for them.,You can experience their sense of place.,0
75,Is there life out there?,Who is out there?,"You know, this question has been around for thousands of years, since at least the time of the Greek philosophers.",0
76,"China and the U.S., despite the recent meta-meeting in California, are locked in all kinds of anger, resentment, and rivalry for number one.",We heard more about who will be number one.,Cities don't worry about number one.,0
77,Who am I to be?,"You might decide to be a pink sock-wearing, cereal-loving, country-living banker, and I might decide to be a black sock-wearing, urban, donut-loving artist.",What we do in hard choices is very much up to each of us.,1
78,"I would sweat profusely almost constantly, and yet if I managed to get myself out into the hot August sun, I might look down and find myself covered in goosebumps.",The restlessness that had made sleep difficult during that first week now turned into what I came to think of as the withdrawal feeling.,It was a deep sense of jitters that would keep me twitching.,1
79,How do we step out of the boxes that are cornering our perceptions?,"Well we don't even have to go to Houston, we can come very close to home.","Remember ""Snowpocalypse?""",0
80,Dunning-Kruger.,Two scholars from Cornell came up with the Dunning-Kruger effect.,"If you go look up the peer-reviewed paper for this, you will see all kinds of fancy terminology: it's an illusory superiority complex, thinking we know things.",0
81,And this is one of our creators.,"They're called ""Kinda Funny.""","They have about 220,000 subscribers on YouTube.",1
82,They stretch across the ocean.,"They're three or five or eight thousand miles in length, and if the material science and the computational technology is incredibly complicated, the basic physical process is shockingly simple.","Light goes in on one end of the ocean and comes out on the other, and it usually comes from a building called a landing station that's often tucked away inconspicuously in a little seaside neighborhood, and there are amplifiers that sit on the ocean floor that look kind of like bluefin tuna, and every 50 miles they amplify the signal, and since the rate of transmission is incredibly fast, the basic unit is a 10-gigabit-per-second wavelength of light, maybe a thousand times your own connection, or capable of carrying 10,000 video streams, but not only that, but you'll put not just one wavelength of light through one of the fibers, but you'll put maybe 50 or 60 or 70 different wavelengths or colors of light through a single fiber, and then you'll have maybe eight fibers in a cable, four going in each direction.",1
83,"During the first week, when the girls are learning how to code, a student will call her over and she'll say, ""I don't know what code to write.""","The teacher will look at her screen, and she'll see a blank text editor.","If she didn't know any better, she'd think that her student spent the past 20 minutes just staring at the screen.",0
84,You see the local laborers.,You see the English engineer giving directions in the background.,"And more importantly, the places are the same.",0
85,"But to do that, we'd have to be able to look at the planet's atmosphere, because the atmosphere acts like a blanket trapping heat -- the greenhouse effect.",We have to be able to assess the greenhouse gases on other planets.,"Well, science fiction got some things wrong.",1
86,"Lorna and John knew how hard it was to raise a child like Susie without support services, special education, and the other resources that are out of reach without a diagnosis.","To make the case to the National Health Service that more resources were needed for autistic children and their families,",Lorna and her colleague Judith Gould decided to do something that should have been done 30 years earlier.,1
87,And it was an article in 2014 on political motive asymmetry.,What's that?,That's what psychologists call the phenomenon of assuming that your ideology is based in love but your opponents' ideology is based in hate.,0
88,"Bank of America building, there, in Atlanta.","You never hear anyone say, ""Do you believe, if you go to the top of that building and throw a ball off, it's going to fall?""","You never hear that, because gravity is a thing.",0
89,"In fact, we live in a 21st-century world of interdependence, and brutal interdependent problems, and when we look for solutions in politics and in democracy, we are faced with political institutions designed 400 years ago, autonomous, sovereign nation-states with jurisdictions and territories separate from one another, each claiming to be able to solve the problem of its own people.","Twenty-first-century, transnational world of problems and challenges, 17th-century world of political institutions.",In that dilemma lies the central problem of democracy.,1
90,"But of course, we hear the question, ""Do you believe in global warming?""","Well, consider these facts.","The American Association for the Advancement of Science, AAAS, one of the leading organizations in science, queried scientists and the public on different science topics.",0
91,"The girls will come in and say, ""Professor, there's something wrong with me.""","We have to begin to undo the socialization of perfection, but we've got to combine it with building a sisterhood that lets girls know that they are not alone.",Because trying harder is not going to fix a broken system.,1
92,But I also don't want you to be disillusioned.,"These are not large enough to solve our climate crisis, and so what we need to do is we need to actually think about what it could take.","One thing I'll absolutely say is positive about the carbon markets is that they allow for new capture plants to be built, and with every capture plant built, we learn more.",1
93,So what I'm showing you here is what a system might look like to do just this.,This is called an air contactor.,"You can see it has to be really, really wide in order to have a high enough surface area to process all of the air required, because remember, we're trying to capture just 400 molecules out of a million.",0
94,Social entrepreneurship.,Yeah.,Absolutely.,0
95,"I was given what I now know is a much too aggressive tapering regimen, according to which I divided my medication into four doses, dropping one each week over the course of the month.",The result is that I was launched into acute opioid withdrawal.,"The result, put another way, was hell.",1
96,"That other person has an opinion too, and it's drama, remember, conflict -- they disagree with me.",There's a conflict between two points of view.,And the thesis of that is that the truth can only emerge in the conflict of different points of view.,0
97,"Yes, it's better to make more money rather than less, or to graduate from college instead of dropping out, but the differences in happiness tend to be small.","Which leaves the question, what are the big causes of happiness?","I think that's a question we haven't really answered yet, but I think something that has the potential to be an answer is that maybe happiness has an awful lot to do with the contents of our moment-to-moment experiences.",1
98,"I like to say that the alternatives are ""on a par.""","When alternatives are on a par, it may matter very much which you choose, but one alternative isn't better than the other.","Rather, the alternatives are in the same neighborhood of value, in the same league of value, while at the same time being very different in kind of value.",1
99,"My father was one of those legions of fathers who, I swear, would rather drive through an alligator-infested swamp than actually ask someone for help getting back to the road.","When I was a kid, we took a family vacation.",We drove from our home in South Jersey to Colonial Williamsburg.,0
100,"And you've been shuffling down long corridors, past statues, frescoes, lots and lots of stuff.",You're heading towards the Sistine Chapel.,"At last -- a long corridor, a stair and a door.",0
101,"That sounded like a great idea, so we did that immediately, and we were shocked when nobody would speak with us.","The receptionist who answered the phone advised us that the pain management team provides an inpatient service; although they prescribe opioids to get pain under control, they do not oversee tapering and withdrawal.","Furious, we called the prescriber back and begged him for anything -- anything that could help me -- but instead he apologized, saying that he was out of his depth.",0
102,"When Sadiye found me at the end of the night she was horrified, and we got back on the phone.",We called everyone.,"We called surgeons and pain docs and general practitioners -- anyone we could find on the internet, and not a single one of them would help me.",0
103,"And that's what we have to do, and to do that is about pragmatism in that deep, American sense, reaching outcomes.","Washington, Beijing, Paris, as world capitals, are anything but pragmatic, but real city mayors have to be pragmatists.","They have to get things done, they have to put ideology and religion and ethnicity aside and draw their cities together.",1
104,Choirs of angels?,We don't really have any of that there.,"Instead, you may ask yourself, what do we have?",1
105,You can't have plastic knives and swords and axes and all that kind of thing in a kindergarten classroom.,What is it that we're afraid that this young man is going to do with this gun?,"I mean, really.",1
106,These kinds of losses are out of our control.,"They're unpredictable, and they bring us to our knees.","And so I say, let them.",1
107,"And he's making 4,800 bucks a month from 1,700 patrons, financing it through membership.",This is Crash Course -- free educational content for the world.,"This show is actually on the PBS digital network -- 29,000 dollars per month.",1
108,I have six older brothers and a sister.,"To give you a sense of what that's like, when my family went on vacation, we had a bus.",My supermom would drive us all over town to our various after-school activities -- not in the bus.,1
109,"Well, the biologists get furious with me for saying that, because we have absolutely no evidence for life beyond Earth yet.","Well, if we were able to look at our galaxy from the outside and zoom in to where our sun is, we see a real map of the stars.",And the highlighted stars are those with known exoplanets.,1
110,Is it reasonable to expect that any physician who prescribes opioids knows that that is too aggressive?,"Well, after I initially published my story in an academic journal, someone from the CDC sent me their pocket guide for tapering opioids.","This is a four-page document, and most of it's pictures.",0
111,"Because I think you will find, when we talk about cities, we are talking about the political institutions in which civilization and culture were born.",We are talking about the cradle of democracy.,"We are talking about the venues in which those public spaces where we come together to create democracy, and at the same time protest those who would take our freedom, take place.",0
112,"Weather is your mood, climate is your personality.","Your mood today doesn't necessarily tell me anything about your personality, nor does a cold day tell me anything about climate change, or a hot day, for that matter.",Dunning-Kruger.,1
113,So what's not to like?,"Well, a few things.",One of the things that worries me is how easily what you might call meritocratic plutocracy can become crony plutocracy.,0
114,"But I, too, wanted to do everything I could to help, so I wanted to try everything.",We all did.,"I researched alternative medicines, diets, juicing, acupuncture.",0
115,"A few minutes ago, I likened mind-wandering to a slot machine you'd never want to play.","Well, how often do people's minds wander?","Turns out, they wander a lot.",0
116,"Well, they come from here.","This is in Guangzhou, China, and if you go upstairs in this rather sleepy looking electronics mall, you find the Guangzhou Dashatou second-hand trade center, and if you go in there, you follow the guys with the muscles who are carrying the boxes, and where are they going?",They're going to Eddy in Lagos.,1
117,"But, who does the MIT professor go to?","Well, I emailed a Nobel Laureate in Physiology or Medicine and he said, ""Sure, come and talk to me.""",So I brought my two biochemistry friends and we went to talk to him about our crazy theory.,0
118,So here's what I learned.,"We're all going to have big losses in our lives, maybe a job or a career, relationships, love, our youth.","We're going to lose our health, people we love.",1
119,Or a 16-year-old girl who built an algorithm to help detect whether a cancer is benign or malignant in the off chance that she can save her daddy's life because he has cancer.,"These are just three examples of thousands, thousands of girls who have been socialized to be imperfect, who have learned to keep trying, who have learned perseverance.","And whether they become coders or the next Hillary Clinton or Beyoncé, they will not defer their dreams.",1
120,"That's a huge number, and what does that mean?","Well, it means if it were united in a single political system, one country, call it ""The United Street Sellers Republic,"" the U.S.S.R., or ""Bazaaristan,"" it would be worth 10 trillion dollars every year, and that would make it the second largest economy in the world, after the United States.","And given that projections are that the bulk of economic growth over the next 15 years will come from emerging economies in the developing world, it could easily overtake the United States and become the largest economy in the world.",1
121,"Bright boys, on the other hand, found the difficult material to be a challenge.",They found it energizing.,They were more likely to redouble their efforts.,1
122,Do you ever feel like you're always listening to people who agree with you?,Why is that dangerous?,"Because when we talk in this country about economics, on the right, conservatives, you're always talking about taxes and regulations and big government.",1
123,And what I recognized was that there was an incredible window of opportunity for us as a world community to come together and end torture as an investigative tool.,"We often think of torture as being political torture or reserved for just the worst, but, in fact, 95 percent of torture today is not for political prisoners.","It is for people who are in broken-down legal systems, and unfortunately because torture is the cheapest form of investigation -- it's cheaper than having a legal system, cheaper than having a lawyer and early access to counsel -- it is what happens most of the time.",1
124,"What does that mean, to invent dialogue?","Well, we know that the Festival of Dionysus gathered the entire citizenry of Athens on the side of the Acropolis, and they would listen to music, they would watch dancing, and they would have stories told as part of the Festival of Dionysus.",And storytelling is much like what's happening right now:,0
125,"This is a duo sailing around the world, getting paid every month for documenting their travels from 1,400 patrons.","This is a podcast, ""Chapo Trap House"", making -- actually, since I screenshotted this, they're making an additional 2,000 dollars per month, so they're now making 56,000 dollars per month for their podcast.",And Patreon's not the only one working on the problem.,0
126,And I have a funny feeling that quite a few of you suffer from it as well.,"When I'm walking around an art gallery, rooms and rooms full of paintings, after about 15 or 20 minutes, I realize I'm not thinking about the paintings.",I'm not connecting to them.,1
127,Who is going to inherit his name and his fortune?,"You put all those together, and you've got your story to fill in that gap that makes you keep coming back.","Now, here's the story.",1
128,"And so I invite you, us, we, to turn toward our fear; to embrace the things that scare us and find the love at the center.",We'll not only find ourselves there but we'll also be able to step into the shoes of those we fear and those who fear us.,"If we breathe into that fear and are vulnerable with the systems and people who challenge us, our power as changemakers grows exponentially.",1
129,And there's two things I do:,"When I go into a gallery, first of all, I go quite fast, and I look at everything, and I pinpoint the ones that make me slow down for some reason or other.","I don't even know why they make me slow down, but something pulls me like a magnet and then I ignore all the others, and I just go to that painting.",1
130,"My friend Lev Brie, who is a professor at the University of Columbia and teaches intro to Java tells me about his office hours with computer science students.","When the guys are struggling with an assignment, they'll come in and they'll say, ""Professor, there's something wrong with my code.""","The girls will come in and say, ""Professor, there's something wrong with me.""",1
131,"And they went back to the drawing board, and they retooled, and they came up with another plan:","We don't sell you the phone, we don't sell you the monthly plan.",We only sell you airtime.,0
132,The Star Trek Enterprise had to travel vast distances at incredible speeds to orbit other planets so that First Officer Spock could analyze the atmosphere to see if the planet was habitable or if there were lifeforms there.,"Well, we don't need to travel at warp speeds to see other planet atmospheres, although I don't want to dissuade any budding engineers from figuring out how to do that.","We actually can and do study planet atmospheres from here, from Earth orbit.",1
133,And the idea that truth comes from the collision of different ideas and the emotional muscle of empathy are the necessary tools for democratic citizenship.,What else happens?,"The third thing really is you, is the community itself, is the audience.",0
134,That scientists and the public are so far apart on these science issues.,"Well, I'll come a little bit closer to home for me, climate change.",Eighty-seven percent of scientists believe that humans are contributing to climate change.,0
135,"In short, I was prescribed a drug that needed long-term management and then I wasn't given that management, and it wasn't even clear whose job such management was.","This is a recipe for disaster and any such disaster would be interesting and worth talking about -- probably worth a TED Talk -- but the failure of opioid tapering is a particular concern at this moment in America because we are in the midst of an epidemic in which 33,000 people died from overdose in 2015.",Nearly half of those deaths involved prescription opioids.,1
136,Now what's the problem with this?,"Women are great, yep, absolutely.","But male role models for boys that say it's all right to be smart -- they've got dads, they've got pastors, they've got Cub Scout leaders, but ultimately, six hours a day, five days a week they're spending in a classroom, and most of those classrooms are not places where men exist.",1
137,Our night sky is literally teeming with exoplanets.,"We know, statistically speaking, that every star has at least one planet.","And in the search for planets, and in the future, planets that might be like Earth, we're able to help address some of the most amazing and mysterious questions that have faced humankind for centuries.",0
138,"If you went and looked for images of the Internet, this was all that you found, this famous image by Opte of the Internet as the kind of Milky Way, this infinite expanse where we don't seem to be anywhere on it.",We can never seem to grasp it in its totality.,"It's always reminded me of the Apollo image of the Earth, the blue marble picture, and it's similarly meant to suggest, I think, that we can't really understand it as a whole.",1
139,"You're disappointed immediately, because whether you knew it or not, you were coming to that theater to be part of an audience.","You were coming to have the collective experience of laughing together, crying together, holding your breath together to see what's going to happen next.","You may have walked into that theater as an individual consumer, but if the theater does its job, you've walked out with a sense of yourself as part of a whole, as part of a community.",1
140,"The prescribers saw me as a complex patient needing specialized care, probably from pain medicine.","The pain docs saw their job as getting pain under control and when I couldn't get off the medication, they saw me as the purview of addiction medicine.",But addiction medicine is overstressed and focused on those suffering from long-term substance use disorder.,1
141,Snowzilla?,Whatever you want to call it.,All two inches of it.,0
142,"Rather, it's supported by reasons created by us.","When we create reasons for ourselves to become this kind of person rather than that, we wholeheartedly become the people that we are.",You might say that we become the authors of our own lives.,1
143,"You can see it has to be really, really wide in order to have a high enough surface area to process all of the air required, because remember, we're trying to capture just 400 molecules out of a million.","Using the liquid-based approach to do this, you take this high surface area packing material, you fill the contactor with the packing material, you use pumps to distribute liquid across the packing material, and you can use fans, as you can see in the front, to bubble the air through the liquid.",The CO2 in the air is separated [by] the liquid by reacting with the really strong-binding CO2 molecules in solution.,0
144,Take something like DonorsChoose.,"You go online, you can choose the individual teacher by name whose classroom you're going to be able to help by literally buying the specific items they've requested, like microscopes or laptops or flexible seating.","An appeal like that makes it so easy for me to imagine the good that my money will do, that I actually get an immediate sense of effectiveness the minute I commit to giving.",1
145,Theater matters because democracy matters.,"Theater is the essential art form of democracy, and we know this because they were born in the same city.","In the late 6th century BC, the idea of Western democracy was born.",1
146,"There was a second, more accurate story of autism which had been lost and forgotten in obscure corners of the clinical literature.",This second story tells us everything about how we got here and where we need to go next.,The first story starts with a child psychiatrist at Johns Hopkins Hospital named Leo Kanner.,1
147,It had to be specific and believable.,This was the place where I was isolated and in total control.,"Since then, I've made a career of painting people in water.",1
148,Here's why.,This is a graph of autism prevalence estimates rising over time.,"For most of the 20th century, autism was considered an incredibly rare condition.",0
149,"And so, we just mostly stand around waiting for someone to notice our needs and then spontaneously offer to help us with it.","This is a really, really bad assumption.","In fact, not only is it very difficult to tell what your needs are, but even the people close to you often struggle to understand how they can support you.",1
150,"Second, an activity question:","What are you doing, on a list of 22 different activities including things like eating and working and watching TV?",And finally a mind-wandering question:,0
151,Generous postdocs tutored us as we went along.,"Within a few years, we found the gene.",We patented it so that it would be freely available.,1
152,My sister would help sometimes.,We had warm towels and slippers ready immediately so she never got cold for a second.,I'd blow-dry her hair.,1
153,It requires imperfection.,"We immediately see in our program our girls' fear of not getting it right, of not being perfect.",Every Girls Who Code teacher tells me the same story.,1
154,We live longer.,We have access to technology that would have seemed like science fiction just a few years ago.,"The paradox of happiness is that even though the objective conditions of our lives have improved dramatically, we haven't actually gotten any happier.",0
