Text_ID,Sentence_ID,Sentence,Evaluative,Affect,Judgement,Appreciation
Bus14.,S113,We need a new New Deal.,1,,,1
Bus14.,S50,We have superstar technologists.,1,,1,
Bus14.,S52,We have superstar lawyers and superstar architects.,1,,1,
Bus14.,S51,We have superstar bankers.,1,,1,
Bus14.,S110,We created unions.,1,,1,
Bus14.,S106,We created the modern welfare state.,1,,1,
Bus14.,S109,We created public pensions.,1,,1,
Bus14.,S108,We created public health care.,1,,1,
Bus14.,S107,We created public education.,1,,1,
Bus14.,S48,We can all watch how a fantastic athlete or a fantastic performer can today leverage his or her skills across the global economy as never before.,1,,,1
Bus14.,S2,"We are living in an age of surging income inequality, particularly between those at the very top and everyone else.",1,,1,
Bus14.,S105,"We also, not coincidentally, went through an era of tremendous social and political inventions.",1,,,1
Bus14.,S111,"Today, we are living through an era of economic transformation comparable in its scale and its scope to the Industrial Revolution.",1,,,1
Edu2.,S68,"When we teach girls to be brave and we have a supportive network cheering them on, they will build incredible things, and I see this every day.",1,,,1
Edu2.,S62,"When the guys are struggling with an assignment, they'll come in and they'll say, ""Professor, there's something wrong with my code.""",1,1,,
Edu2.,S36,What's going on?,0,,,
Edu2.,S21,"We're taught to smile pretty, play it safe, get all A's.",1,,1,
Edu2.,S37,"Well, at the fifth grade level, girls routinely outperform boys in every subject, including math and science, so it's not a question of ability.",1,,1,
Edu2.,S51,"We immediately see in our program our girls' fear of not getting it right, of not being perfect.",1,1,,
Edu2.,S78,"We have to teach them to be brave in schools and early in their careers, when it has the most potential to impact their lives and the lives of others, and we have to show them that they will be loved and accepted not for being perfect but for being courageous.",1,,1,
Edu2.,S76,"We have to socialize our girls to be comfortable with imperfection, and we've got to do it now.",1,,1,
Edu2.,S64,"We have to begin to undo the socialization of perfection, but we've got to combine it with building a sisterhood that lets girls know that they are not alone.",1,,,1
Edu2.,S77,We cannot wait for them to learn how to be brave like I did when I was 33 years old.,1,,1,
Edu2.,S42,"This study is usually invoked as evidence that, well, women need a little more confidence.",1,,1,
Edu2.,S24,They're rewarded for it.,1,,1,
Edu2.,S35,They were more likely to redouble their efforts.,1,,1,
Edu2.,S34,They found it energizing.,1,,,1
Edu2.,S72,"These are just three examples of thousands, thousands of girls who have been socialized to be imperfect, who have learned to keep trying, who have learned perseverance.",1,,1,
Edu2.,S54,"The teacher will look at her screen, and she'll see a blank text editor.",0,,,
Edu2.,S4,The sitting congresswoman had been in my district since 1992.,0,,,
Edu2.,S7,"The polls, however, told a very different story.",1,,,1
Edu2.,S32,"The higher the IQ, the more likely they were to give up.",1,,1,
Edu2.,S63,"The girls will come in and say, ""Professor, there's something wrong with me.""",1,1,,
Edu6.,S67,Zero tolerance policies and the way they're lived out.,1,,1,
Edu6.,S50,You're not allowed to write about anything that has to do with video games.,1,,1,
Edu6.,S85,"You'll see, the conversation changes depending upon who's sitting around the table.",1,,1,
Edu6.,S62,"You tell a teacher that, and they'll ask you, in all seriousness, ""Should we send this child to the psychologist?""",1,,1,
Edu6.,S41,You can't have plastic knives and swords and axes and all that kind of thing in a kindergarten classroom.,1,,1,
Edu6.,S32,"Yeah, well, they're playing video games, and they're gambling online all night long, and they're playing World of Warcraft, and that's affecting their academic achievement.""",1,,1,
Edu6.,S73,"Women are great, yep, absolutely.",1,,1,
Edu6.,S131,"Where we started: my colleagues Mike Petner, Shawn Vashaw, myself, we started by trying to look at the teachers' attitudes and find out how do they really feel about gaming, what do they say about it.",0,,,
Edu6.,S101,Where is it coming from?,0,,,
Edu6.,S89,"When you're three, you better be able to write your name legibly, or else we'll consider it a developmental delay.",1,,1,
Edu6.,S27,"When we look at the universities, 60 percent of baccalaureate degrees are going to women now, which is a significant shift.",1,,,1
Edu6.,S53,"What's wrong with writing?"" ""Now I have to write what she tells me to write."" ""OK, what is she telling you to write?"" ""Poems.",0,,,
Edu6.,S42,What is it that we're afraid that this young man is going to do with this gun?,1,1,1,
Edu6.,S57,"What do you want to write about?"" ""I want to write about video games.",1,1,,
Edu6.,S70,We went from 14 percent to seven percent.,0,,,
Edu6.,S105,We want to live in Lake Wobegon where every child is above average,1,1,1,
Edu6.,S103,We want our babies to read when they are six months old.,1,1,,
Edu6.,S122,"We need to think about how to uncompress this curriculum if we can, trying to bring boys back into a space that is comfortable for them.",1,1,1,
Edu6.,S118,We need to talk to teachers and parents and school board members and politicians.,1,1,,
Edu6.,S110,We need to put ourselves into boy culture.,1,1,,
Ent5.,S19,You select.,0,,,
Ent5.,S153,"You put all those together, and you've got your story to fill in that gap that makes you keep coming back.",1,,,1
Ent5.,S36,Why not apply that to our looking at paintings?,1,,,1
Ent5.,S24,Why are we supposed to have a connection with every single painting?,0,,,
Ent5.,S33,Why a story?,0,,,
Ent5.,S88,Whose are they?,0,,,
Ent5.,S152,Who is going to inherit his name and his fortune?,1,,1,
Ent5.,S56,"Which made me go, ""Yippee!""",1,1,,
Ent5.,S3,"When I'm walking around an art gallery, rooms and rooms full of paintings, after about 15 or 20 minutes, I realize I'm not thinking about the paintings.",1,,,1
Ent5.,S168,"When I made the announcement, George did not turn rosy, but went pale as my doublet.",1,1,,
Ent5.,S27,"When I go into a gallery, first of all, I go quite fast, and I look at everything, and I pinpoint the ones that make me slow down for some reason or other.",1,,,1
Ent5.,S44,What made me stop in my tracks about her to begin with was just the gorgeous colors he uses and the light falling on her face.,1,,,1
Ent5.,S143,What is he thinking about that's making him blush?,1,1,,
Ent5.,S67,"Well, who else would be in the house?",0,,,
Ent5.,S149,"Well, what would a Tudor gentleman be preoccupied with?",1,1,,
Ent5.,S61,"Well, there've been suggestions that she is his 12-year-old daughter.",1,,1,
Ent5.,S34,"Well, I think that we are wired, our DNA tells us to tell stories.",1,,1,
Ent5.,S76,"Well, he compartmentalizes his life.",1,,1,
Ent5.,S25,Well I'm trying to take a different approach.,1,,,1
Ent5.,S35,"We tell stories all the time about everything, and I think we do it because the world is kind of a crazy, chaotic place, and sometimes stories, we're trying to make sense of the world a little bit, trying to bring some order to it.",1,,1,1
Ent8.,S46,Who's heard of Twitch?,0,,,
Ent8.,S24,What systems have we built where this is insufficient for a person to make a living?,1,,1,
Ent8.,S93,"We're leaving that culture, we're out of there.",1,,1,
Ent8.,S94,"We're going to get so good at paying creators, within 10 years, kids graduating high school and college are going to think of being a creator as just being an option -- I could be a doctor, I could be a lawyer, I could be a podcaster, I could have a web comic.",1,,1,
Ent8.,S44,We're figuring out what works and what doesn't.,1,1,1,
Ent8.,S96,We're figuring it out.,1,1,1,
Ent8.,S53,We're 80 people now working on this problem.,1,,1,
Ent8.,S84,"We had just made about 400,000 dollars in one year through iTunes sales and brand deals and stuff like that.",1,,1,
Ent8.,S6,"We also got a bunch of people who, I guess, just didn't really like the music or something --",1,1,1,
Ent8.,S47,Twitch streamers are making three to five thousand bucks a month streaming gaming content.,1,,1,
Ent8.,S69,"This show is actually on the PBS digital network -- 29,000 dollars per month.",1,,1,
Ent8.,S83,"This is when the band had hit our first machine, so things were really cranking.",1,,,1
Ent8.,S65,"This is Derek Bodner, a sports journalist who used to write for Philadelphia Magazine until a few months ago when the magazine cut out all sports coverage.",1,,1,
Ent8.,S68,This is Crash Course -- free educational content for the world.,1,,,1
Ent8.,S17,This is an actual snapshot of my YouTube dashboard from a 28-day period that shows one million views and 166 dollars of ad earnings for those views.,0,,,
Ent8.,S71,"This is a podcast, ""Chapo Trap House"", making -- actually, since I screenshotted this, they're making an additional 2,000 dollars per month, so they're now making 56,000 dollars per month for their podcast.",0,,,
Ent8.,S70,"This is a duo sailing around the world, getting paid every month for documenting their travels from 1,400 patrons.",1,,1,
Ent8.,S21,"This is 20,000 people.",0,,,
Ent8.,S57,"They're called ""Kinda Funny.""",1,,1,
Ent8.,S58,"They have about 220,000 subscribers on YouTube.",0,,,
His5.,S96,"Zechariah foresees a light coming from the east, and we are turned at this juncture to a new destination, with sibyls and prophets who will lead us on a parade.",0,,,
His5.,S3,You're heading towards the Sistine Chapel.,0,,,
His5.,S5,You're at the threshold of the Sistine Chapel.,0,,,
His5.,S97,"You have the heroes and heroines who make safe the way, and we follow the mothers and fathers.",0,,,
His5.,S89,You have Noah.,0,,,
His5.,S88,You have Noah and his Ark and the flood.,0,,,
His5.,S85,You are exactly at the point where you and I can go no further into the church.,0,,,
His5.,S84,You are at critical juncture now in the ceiling.,1,,,1
His5.,S30,"With the addition of images of the Pope's friends and family, this was a perfect decoration for a small court limited to the European continent.",1,,,1
His5.,S75,Who is in that other arm?,0,,,
His5.,S134,"Who am I, and what role do I play in this great theater of life?",1,,,1
His5.,S129,Who am I in this picture?,0,,,
His5.,S11,"Well, curtains up on the Sistine Chapel.",0,,,
His5.,S9,We don't really have any of that there.,1,,1,
His5.,S127,"We are caught in that space between beginnings and endings, in the great, huge totality of the human experience.",1,,,1
His5.,S107,"Told in terms of the Christian vision of the Last Judgment, the end of the world, Michelangelo gave you a series of figures who are wearing these strikingly beautiful bodies.",1,,,1
His5.,S111,"Those who have risen reach back to help others, and in one amazing vignette, you have a black man and a white man pulled up together in an incredible vision of human unity in this new world.",1,,,1
His5.,S45,"This plan was embraced by the larger-than-life Pope Julius II, a man who was unafraid of Michelangelo's brazen genius.",1,,1,
His5.,S119,"This is the Pope's private chapel, and the best way you can describe that is indeed a stew of nudes.",1,,,1
His5.,S100,This is the most important juncture.,1,,,1
His13.,S75,You no longer had to have a connection to that tiny circle of experts to get your child evaluated.,1,,,1
His13.,S8,Why?,0,,,
His13.,S21,Why were cases of autism so hard to find before the 1990s?,1,,,1
His13.,S40,"When his mother put on one of his favorite records, he would correctly declare, ""Beethoven!""",1,,1,
His13.,S51,"What they saw made clear that Kanner's model was way too narrow, while the reality of autism was much more colorful and diverse.",1,,,1
His13.,S88,We can't afford to waste a brain.,1,,1,
His13.,S47,"To make the case to the National Health Service that more resources were needed for autistic children and their families,",1,1,,
His13.,S84,"To be sure, autistic people have a hard time living in a world not built for them. ",1,,1,
His13.,S26,This second story tells us everything about how we got here and where we need to go next.,1,,,1
His13.,S10,This is a graph of autism prevalence estimates rising over time.,0,,,
His13.,S49,They undertook a study of autism prevalence in the general population.,0,,,
His13.,S50,They pounded the pavement in a London suburb called Camberwell to try to find autistic children in the community.,0,,,
His13.,S29,"They could amuse themselves for hours by flapping their hands in front of their faces, but they were panicked by little things like their favorite toy being moved from its usual place without their knowledge.",1,1,,
His13.,S37,"These children, he said, had been kept neatly in a refrigerator that didn't defrost.",1,,1,
His13.,S71,These changes weren't happening in a vacuum.,1,,1,
His13.,S25,"There was a second, more accurate story of autism which had been lost and forgotten in obscure corners of the clinical literature.",1,,,1
His13.,S78,"Then Andrew Wakefield came along to blame the spike in diagnoses on vaccines, a simple, powerful, and seductively believable story that was as wrong as Kanner's theory that autism was rare.",1,,1,1
His13.,S2,"The virus then hopped the Canadian border, infecting more than 100 children in Quebec.",1,,1,
His13.,S59,The paper offered an alternate story of autism.,1,,,1
His13.,S77,"The number of diagnoses started to soar, just as Lorna and Judith predicted, indeed hoped, that it would, enabling autistic people and their families to finally get the support and services they deserved.",1,1,,1
Med9.,S10,"You need to think about getting off the meds now.""",1,1,,
Med9.,S32,"When she pushed him and said, ""You know, he's really quite badly off,"" the doctor responded, ""Well, if it's that bad, he can just go back to his previous dose for a little while.""",0,,,
Med9.,S60,"When Sadiye found me at the end of the night she was horrified, and we got back on the phone.",1,1,,
Med9.,S65,"When my desperation was clearly coming through my voice, much as it is now, the receptionist took a deep breath and said, ""Mr. Rieder, it sounds like perhaps what you need is a rehab facility or a methadone clinic.""",1,1,,
Med9.,S14,What happened next really came to define my entire experience of medical trauma.,1,,,1
Med9.,S102,"Well, after I initially published my story in an academic journal, someone from the CDC sent me their pocket guide for tapering opioids.",0,,,
Med9.,S62,"We called surgeons and pain docs and general practitioners -- anyone we could find on the internet, and not a single one of them would help me.",1,,1,
Med9.,S61,We called everyone.,0,,,
Med9.,S83,This story is important precisely because I'm not special; because nothing that happened to me was all that unique.,1,,,1
Med9.,S90,"This is a recipe for disaster and any such disaster would be interesting and worth talking about -- probably worth a TED Talk -- but the failure of opioid tapering is a particular concern at this moment in America because we are in the midst of an epidemic in which 33,000 people died from overdose in 2015.",1,,1,1
Med9.,S103,"This is a four-page document, and most of it's pictures.",0,,,
Med9.,S95,"These sorts of considerations help to explain why America, despite accounting for only five percent of the global population, consumes nearly 70 percent of the total global opioid supply.",1,,1,
Med9.,S41,The tears that had felt like a misfire before now felt meaningful.,1,1,,
Med9.,S17,"The result, put another way, was hell.",1,,,1
Med9.,S16,The result is that I was launched into acute opioid withdrawal.,1,,1,
Med9.,S25,The restlessness that had made sleep difficult during that first week now turned into what I came to think of as the withdrawal feeling.,1,1,,
Med9.,S46,"The receptionist who answered the phone advised us that the pain management team provides an inpatient service; although they prescribe opioids to get pain under control, they do not oversee tapering and withdrawal.",0,,,
Med9.,S86,"The prescribers saw me as a complex patient needing specialized care, probably from pain medicine.",1,,1,
Med9.,S87,"The pain docs saw their job as getting pain under control and when I couldn't get off the medication, they saw me as the purview of addiction medicine.",1,,1,
Med9.,S92,"The medical community has in fact started to react to this crisis, but much of their response has involved trying to prescribe fewer pills -- and absolutely, that's going to be important.",1,,,1
Med15.,S68,"Within a few years, we found the gene.",1,,,1
Med15.,S23,Why are you looking in her eyes?,0,,,
Med15.,S98,"When we're frustrated that entities won't share data -- data that comes from people who gave their energy, their time, their blood and even their tears -- we need to stop and ask, ""How is it true that we could share, but we aren't?""",1,1,,
Med15.,S26,What is the prognosis?,0,,,
Med15.,S24,What do you know about this?,0,,,
Med15.,S99,"We're part of this system, too.",0,,,
Med15.,S57,"Well, yes you can if you move their food.",0,,,
Med15.,S128,We'll not only find ourselves there but we'll also be able to step into the shoes of those we fear and those who fear us.,1,,1,
Med15.,S60,"Well before the internet was in common use, Pat and I established PXE International, a nonprofit dedicated to initiating research and conducting it on PXE and also supporting individuals with the disease.",0,,,
Med15.,S34,We want to flee back to the land of normal.,1,,,1
Med15.,S51,We realized that we would have to do work on this condition ourselves to find solutions for ourselves and others like us.,0,,,
Med15.,S63,We quickly learned that this shared resource was not going to be enough.,1,,,1
Med15.,S71,We put together a research consortium.,0,,,
Med15.,S69,We patented it so that it would be freely available.,1,,,1
Med15.,S81,"We joined with, and I eventually led, Genetic Alliance -- a network of health advocacy, patient advocacy, research and health organizations.",0,,,
Med15.,S72,We held research meetings and opened a center of excellence.,0,,,
Med15.,S73,"We found more than 4,000 people around the world who had PXE, and held patient meetings and did clinical trials and studies.",0,,,
Med15.,S46,We didn't understand a thing.,0,,,
Med15.,S70,We created a diagnostic test.,0,,,
Med15.,S82,"We built scalable and extensible resources, like biobanks and registries and directories of support for all diseases.",1,,,1
Phi3.,S25,"You see, I had become an enthusiast for capitalism, and I want to tell you why that is.",1,,1,
Phi3.,S173,"You know, all of us in this room, we're blessed.",1,1,,
Phi3.,S61,"You know what, I still don't care.",1,1,,
Phi3.,S94,You know what I was thinking?,0,,,
Phi3.,S108,"You expect to see this between Palestinians and Israelis, for example.",0,,,
Phi3.,S114,You can't progress as a society when you have this kind of asymmetry.,1,,1,
Phi3.,S145,Yes.,0,,,
Phi3.,S146,Yes.,0,,,
Phi3.,S141,Yeah.,0,,,
Phi3.,S87,Wrong.,1,,1,
Phi3.,S129,Wrong.,1,,1,
Phi3.,S154,Why is that dangerous?,1,,,1
Phi3.,S89,Why do I know it by heart?,0,,,
Phi3.,S85,Who said it?,0,,,
Phi3.,S171,Where does this start?,0,,,
Phi3.,S177,"When people hear us, with the kind of unpredictable ideology, then maybe people will listen.",1,,,1
Phi3.,S5,"When I was 19, I dropped out of college -- dropped out, kicked out, splitting hairs.",1,,1,
Phi3.,S105,What's that?,0,,,
Phi3.,S42,What?,0,,,
Phi3.,S97,What?,0,,,
Phi8.,S104,You might say that we become the authors of our own lives.,1,,1,
Phi8.,S109,"You might decide to be a pink sock-wearing, cereal-loving, country-living banker, and I might decide to be a black sock-wearing, urban, donut-loving artist.",1,,1,
Phi8.,S15,You could have high fiber bran cereal or a chocolate donut.,0,,,
Phi8.,S12,"You agonize over whether to stay in your current job in the city or uproot your life for more challenging work in the country, because staying is better in some ways, moving is better in others, and neither is better than the other overall.",1,1,,1
Phi8.,S108,Who am I to be?,0,,,
Phi8.,S91,"When you think about it,",0,,,
Phi8.,S103,"When we create reasons for ourselves to become this kind of person rather than that, we wholeheartedly become the people that we are.",1,,1,
Phi8.,S96,"When we choose between options that are on a par, we can do something really rather remarkable.",1,,1,
Phi8.,S21,"When I graduated from college, I couldn't decide between two careers, philosophy and law.",0,,,
Phi8.,S94,"When alternatives are on a par, the reasons given to us, the ones that determine whether we're making a mistake, are silent as to what to do.",0,,,
Phi8.,S82,"When alternatives are on a par, it may matter very much which you choose, but one alternative isn't better than the other.",1,,,1
Phi8.,S110,What we do in hard choices is very much up to each of us.,1,,1,
Phi8.,S9,What makes a choice hard is the way the alternatives relate.,1,,,1
Phi8.,S58,We've got two jobs.,0,,,
Phi8.,S65,"We're weighing the merits of two jobs, after all, not the merits of the number nine and a plate of fried eggs.",1,,1,
Phi8.,S25,"Well, that struck me as the height of extravagance and frivolity.",1,1,,
Phi8.,S68,"We unwittingly assume that values like justice, beauty, kindness, are akin to scientific quantities, like length, mass and weight.",1,,1,
Phi8.,S13,We shouldn't think that all hard choices are big.,1,,1,
Phi8.,S78,"We shouldn't assume that the world of is, of lengths and weights, has the same structure as the world of ought, of what we should do.",1,,1,
Phi8.,S80,"We need to introduce a new, fourth relation beyond being better, worse or equal, that describes what's going on in hard choices.",1,1,,
Pol2.,S81,"You can run for the Senate out of a different state, but it's hard to do that as a mayor.",1,,1,
Pol2.,S116,"Yet we know that the reality we experience day to day is a world without borders, a world of diseases without borders and doctors without borders, maladies sans frontières, Médecins Sans Frontières, of economics and technology without borders, of education without borders, of terrorism and war without borders.",1,,,1
Pol2.,S49,Why?,0,,,
Pol2.,S90,"When states face each other, China and the U.S., they face each other like this.",0,,,
Pol2.,S32,"When I say if mayors ruled the world, when I first came up with that phrase, it occurred to me that actually, they already do.",0,,,
Pol2.,S91,"When cities interact, they interact like this.",0,,,
Pol2.,S42,"Well, to understand that, we need to understand why cities are special, why mayors are so different than prime ministers and presidents, because my premise is that a mayor and a prime minister are at the opposite ends of a political spectrum.",1,1,1,
Pol2.,S54,"We saw this a couple of decades ago when Teddy Kollek, the great mayor of Jerusalem in the '80s and the '90s, was besieged one day in his office by religious leaders from all of the backgrounds, Christian prelates, rabbis, imams.",1,,1,
Pol2.,S21,"We pay taxes, we vote occasionally, we watch the men and women we choose rule rule more or less without us.",1,,1,
Pol2.,S93,We heard more about who will be number one.,0,,,
Pol2.,S125,"We can create not a League of Nations, which failed, but a League of Cities, not a United or a dis-United Nations, but United Cities of the World.",1,,1,
Pol2.,S126,We can create a global parliament of mayors.,0,,,
Pol2.,S10,"We are talking about the venues in which those public spaces where we come together to create democracy, and at the same time protest those who would take our freedom, take place.",0,,,
Pol2.,S9,We are talking about the cradle of democracy.,0,,,
Pol2.,S30,"We are an urban species, at home in our cities.",1,,1,
Pol2.,S52,"Washington, Beijing, Paris, as world capitals, are anything but pragmatic, but real city mayors have to be pragmatists.",1,,1,
Pol2.,S20,"Very different than nation-states, which are abstractions.",1,,,1
Pol2.,S35,"UCLG, United Cities and Local Governments; ICLEI, the International Council for Local Environmental Issues.",0,,,
Pol2.,S4,"Twenty-first-century, transnational world of problems and challenges, 17th-century world of political institutions.",1,,,1
Pol2.,S43,"To be a prime minister or a president, you have to have an ideology, you have to have a meta-narrative, you have to have a theory of how things work, you have to belong to a party.",1,,1,
Pol9.,S101,Your head gets bigger.,1,,1,
Pol9.,S104,"You know, he never quite made it to all of them every day, but he wanted to visit all 156 prisoners.",1,,1,
Pol9.,S15,"Women would say, ""Well I've been here for 10 years because my husband committed a crime, but they can't find him.""",0,,,
Pol9.,S55,"What's going on?""",0,,,
Pol9.,S2,"What I also realized at that point was that it was not only Cambodia, but of the 113 developing countries that torture, 93 of these countries have all passed laws that say you have a right to a lawyer and you have a right not to be tortured.",0,,,
Pol9.,S42,"What can we do?""",0,,,
Pol9.,S94,"Well, I would say this.",0,,,
Pol9.,S4,"We often think of torture as being political torture or reserved for just the worst, but, in fact, 95 percent of torture today is not for political prisoners.",1,,1,
Pol9.,S84,We need to systematically implement early access to counsel.,1,1,,
Pol9.,S71,"We have a program called JusticeMakers, and we realized there are people that are courageous and want to do things, but how can we support them?",1,,1,
Pol9.,S97,Vishna was a 4-year-old boy when I met him who was born in a Cambodian prison in Kandal Province.,0,,,
Pol9.,S78,"This is fantastic.""",1,,,1
Pol9.,S53,"They were torturing everybody all the time.""",1,,1,
Pol9.,S8,The second is insuring that there is systematic early access to counsel.,1,,,1
Pol9.,S52,The police are one of the main reasons why we had the revolution.,1,,1,
Pol9.,S50,"The key that we see, though, is training and then early access.",1,,,1
Pol9.,S69,The first reason is the people on the ground who find ways of creating miracles because of their commitment.,1,,1,
Pol9.,S17,"The first group of defenders came together and I still remember, as I was training, I said, ""Okay, what do you do for an investigation?""",0,,,
Pol9.,S99,"So, you know, there's bars.",0,,,
Pol9.,S65,"So the pieces are, not only the training of the lawyers, but us finding a way to systematically implement early access to counsel, because they are the safeguard in the system for people who are being tortured.",1,,,1
Psy5.,S67,You know what else feels less awkward over email and text?,1,1,,
Psy5.,S83,"You go online, you can choose the individual teacher by name whose classroom you're going to be able to help by literally buying the specific items they've requested, like microscopes or laptops or flexible seating.",1,,1,
Psy5.,S57,"When you have a relationship with someone, helping one another is actually a natural part of that relationship.",1,,,1
Psy5.,S5,"When I was a kid, we took a family vacation.",0,,,
Psy5.,S76,"What is rewarding about helping is knowing that your help landed, that it had impact, that you were effective.",1,,1,1
Psy5.,S31,We really can't blame other people for not just spontaneously offering to help us when we don't actually know that that's what is wanted.,1,,1,
Psy5.,S6,We drove from our home in South Jersey to Colonial Williamsburg.,0,,,
Psy5.,S39,"We don't actually know what it is you want from us, and, just as important, we don't know whether or not we can be successful in giving you the help.",1,,1,
